"[13101112726A]등급별","등급별","[13101112726B]도매시장별","도매시장별","[Item]항목","항목","단위","2016. 04 월","2016. 03 월","2016. 02 월","2016. 01 월","2015. 12 월","2015. 11 월","2015. 10 월","2015. 09 월","2015. 08 월","2015. 07 월","2015. 06 월","2015. 05 월","2015. 04 월","2015. 03 월","2015. 02 월","2015. 01 월","2014. 12 월","2014. 11 월","2014. 10 월","2014. 09 월","2014. 08 월","2014. 07 월","2014. 06 월","2014. 05 월","2014. 04 월","2014. 03 월","2014. 02 월","2014. 01 월","2013. 12 월","2013. 11 월","2013. 10 월","2013. 09 월","2013. 08 월","2013. 07 월","2013. 06 월","2013. 05 월","2013. 04 월","2013. 03 월","2013. 02 월","2013. 01 월","2012. 12 월","2012. 11 월","2012. 10 월","2012. 09 월","2012. 08 월","2012. 07 월","2012. 06 월","2012. 05 월","2012. 04 월","2012. 03 월","2012. 02 월","2012. 01 월","2011. 12 월","2011. 11 월","2011. 10 월","2011. 09 월","2011. 08 월","2011. 07 월","2011. 06 월","2011. 05 월","2011. 04 월","2011. 03 월","2011. 02 월","2011. 01 월",
"13102112726A.013","2D","13102112726B.004","협신식품","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","451","820","931","440","385",
"13102112726A.013","2D","13102112726B.004","협신식품","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6728","5375","6051","5957","6419",
"13102112726A.013","2D","13102112726B.005","동원산업","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"13102112726A.013","2D","13102112726B.005","동원산업","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"13102112726A.013","2D","13102112726B.006","부경축공","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1567","2442","1950","893","2249",
"13102112726A.013","2D","13102112726B.006","부경축공","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6228","4825","5617","5422","5103",
"13102112726A.013","2D","13102112726B.007","신흥산업","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1052","1194","1801","1498","2091",
"13102112726A.013","2D","13102112726B.007","신흥산업","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6408","5035","5586","4873","5321",
"13102112726A.013","2D","13102112726B.008","삼성식품","13103112726T1[14STD04355]","두수[두]","두","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","399","480","607","346","434",
"13102112726A.013","2D","13102112726B.008","삼성식품","13103112726T2[14STD05638]","경락가격[원/㎏]","원/㎏","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5545","4739","5813","5535","5263",
