"[A]시도별","시도별","[Item]항목","항목","단위","2016. 1/4","2015. 4/4","2015. 3/4","2015. 2/4","2015. 1/4","2014. 4/4","2014. 3/4","2014. 2/4","2014. 1/4","2013. 4/4","2013. 3/4","2013. 2/4","2013. 1/4","2012. 4/4","2012. 3/4","2012. 2/4","2012. 1/4","2011. 4/4","2011. 3/4","2011. 2/4","2011. 1/4",
"31","경기도","T04","4~6개월","","499234","525530","525672","456046","499165","524722","511447","483298","453946","514642","543870","514693","524458","482963","524500","390614","289467","254183","226484","135800","149738",
"31","경기도","T05","6~8개월:계","","15386","15189","18585","15490","15896","18449","16652","16158","14629","15155","13871","14127","16553","13609","16567","19406","26281","22889","18716","12586","3200",
"31","경기도","T06","6~8개월:암컷","","15332","15105","16651","15408","14017","16562","14818","14539","13003","13092","11597","12208","15071","11980","14489","17691","24226","22756","18642","12483","3161",
"31","경기도","T07","6~8개월:수컷","","54","84","1934","82","1879","1887","1834","1619","1626","2063","2274","1919","1482","1629","2078","1715","2055","133","74","103","39",
"31","경기도","T08","8개월이상:계","","143218","140844","143995","143961","144920","140804","147173","143494","144822","139625","142687","149194","154516","152051","148208","140791","127423","101673","78677","58782","50373",
"31","경기도","T09","8개월이상:암컷","","141473","139142","142159","142117","143032","138927","145134","141511","142759","137631","140671","147043","152155","149761","145795","138501","125238","99692","77053","57359","49107",
"31","경기도","T10","8개월이상:수컷","","1745","1702","1836","1844","1888","1877","2039","1983","2063","1994","2016","2151","2361","2290","2413","2290","2185","1981","1624","1423","1266",
"32","강원도","T01","합계","","432822","422500","433191","424075","441805","446587","444028","421392","435871","424533","438121","414239","398842","366232","371004","340103","311797","246868","192041","156144","145152",
"32","강원도","T02","2개월미만","","130932","120843","132142","139251","143970","135527","128250","122626","138191","123438","136973","128797","120991","108013","107892","99096","90546","88052","62500","48678","38451",
"32","강원도","T03","2~4개월","","132350","131582","130753","123493","123586","133393","132705","128074","124668","128371","129689","124194","121311","109187","107872","101957","84742","67522","47437","40079","36321",
"32","강원도","T04","4~6개월","","124929","126697","124953","116398","129621","132148","138965","127414","125016","130775","128096","117701","112196","107456","112549","94023","92590","54202","52129","40403","53737",
"32","강원도","T05","6~8개월:계","","5174","5267","5151","5091","4501","4975","4907","4758","9989","4291","4105","4317","6418","6626","5637","9165","10368","4757","6188","5969","1640",
"32","강원도","T06","6~8개월:암컷","","4363","4398","3551","3709","3114","3529","3406","3794","3899","2996","2873","3243","5468","4709","3718","5781","7645","4708","5937","5812","1604",
"32","강원도","T07","6~8개월:수컷","","811","869","1600","1382","1387","1446","1501","964","6090","1295","1232","1074","950","1917","1919","3384","2723","49","251","157","36",
"32","강원도","T08","8개월이상:계","","39437","38111","40192","39842","40127","40544","39201","38520","38007","37658","39258","39230","37926","34950","37054","35862","33551","32335","23787","21015","15003",
"32","강원도","T09","8개월이상:암컷","","38815","37503","39562","39248","39520","39910","38602","37916","37439","36955","38426","38587","37189","34347","36386","35245","33019","31826","23345","20639","14682",
"32","강원도","T10","8개월이상:수컷","","622","608","630","594","607","634","599","604","568","703","832","643","737","603","668","617","532","509","442","376","321",
"33","충청북도","T01","합계","","600869","592806","622663","578157","560349","614581","606373","599594","604321","635765","661778","656506","637524","607392","621591","554483","481250","398244","350443","271215","233679",
"33","충청북도","T02","2개월미만","","174706","166763","178198","177642","179982","183205","179584","179435","162375","169818","168934","181394","177740","183120","181256","162753","149364","129805","103030","82187","60761",
"33","충청북도","T03","2~4개월","","178165","180711","169875","169367","153909","180170","185903","177059","184095","196316","202508","187054","205283","186693","188355","180820","153547","119844","109762","92610","71522",
"33","충청북도","T04","4~6개월","","190507","186828","211180","171047","170836","191049","181519","183369","202332","213940","235173","229079","194081","175352","187123","146112","122082","96593","91825","63651","72107",
"33","충청북도","T05","6~8개월:계","","6177","5333","11142","8313","3976","5950","6125","6903","5230","5553","6004","5212","4487","8049","11230","13394","7884","7358","10815","5948","2887",
"33","충청북도","T06","6~8개월:암컷","","6020","5305","11102","5807","3921","5923","6109","6317","5177","5532","5766","4791","4414","6963","9809","9994","7372","6977","10363","5590","2776",
"33","충청북도","T07","6~8개월:수컷","","157","28","40","2506","55","27","16","586","53","21","238","421","73","1086","1421","3400","512","381","452","358","111",
"33","충청북도","T08","8개월이상:계","","51314","53171","52268","51788","51646","54207","53242","52828","50289","50138","49159","53767","55933","54178","53627","51404","48373","44644","35011","26819","26402",
"33","충청북도","T09","8개월이상:암컷","","50732","52617","51724","51226","51062","53580","52500","52207","49629","49439","48440","52844","55156","53348","52870","50620","47590","43863","34256","26242","25775",
"33","충청북도","T10","8개월이상:수컷","","582","554","544","562","584","627","742","621","660","699","719","923","777","830","757","784","783","781","755","577","627",
"34","충청남도","T01","합계","","2155337","2148996","2132491","2058903","2037112","2047758","2006478","1912035","1948898","1963512","1994603","1998027","2006444","1999424","1949038","1995126","1932857","1842342","1751182","1623510","1552125",
"34","충청남도","T02","2개월미만","","697485","669261","685603","672122","650910","657671","637971","607622","603397","615623","641822","645032","650498","635481","643373","634159","613820","583074","546995","495787","449223",
"34","충청남도","T03","2~4개월","","660669","660184","646528","625764","609361","620655","596619","566904","577322","574245","607738","612276","593566","605634","579266","608210","589568","545852","533566","473900","472238",
"34","충청남도","T04","4~6개월","","581162","600917","587987","543609","561108","558718","564789","532934","560415","571176","552529","532620","545577","547883","523110","539729","516042","497180","467564","461846","458852",
"34","충청남도","T05","6~8개월:계","","21846","27117","26642","26640","27369","26103","23628","23795","24806","23197","15390","22717","24474","21103","19158","25420","28311","23047","28581","27966","19158",
"34","충청남도","T06","6~8개월:암컷","","20812","24472","22823","22275","21848","21448","19260","19433","18769","18173","14263","18583","18202","19936","18580","22843","21985","20195","23626","23307","15601",
"34","충청남도","T07","6~8개월:수컷","","1034","2645","3819","4365","5521","4655","4368","4362","6037","5024","1127","4134","6272","1167","578","2577","6326","2852","4955","4659","3557",
"34","충청남도","T08","8개월이상:계","","194175","191517","185731","190768","188364","184611","183471","180780","182958","179271","177124","185382","192329","189323","184131","187608","185116","193189","174476","164011","152654",
"34","충청남도","T09","8개월이상:암컷","","189415","186961","181354","186039","183618","180011","178970","176209","178249","174407","172576","180471","187287","184605","179356","182723","180495","188458","170210","160770","149833",
"34","충청남도","T10","8개월이상:수컷","","4760","4556","4377","4729","4746","4600","4501","4571","4709","4864","4548","4911","5042","4718","4775","4885","4621","4731","4266","3241","2821",
"35","전라북도","T01","합계","","1227626","1215603","1218791","1189773","1166968","1178266","1121251","1133874","1128385","1151406","1189391","1166936","1214978","1224632","1239542","1206631","1190343","1160169","1182891","1174695","1155201",
"35","전라북도","T02","2개월미만","","387098","378430","372180","353984","359156","343570","328558","332171","326907","330400","350357","349548","361683","353238","360457","344348","351490","348662","361420","353317","351228",
"35","전라북도","T03","2~4개월","","399146","393886","384192","383244","368370","378253","364935","365029","357201","385237","388903","374686","395084","421900","423193","413397","377984","381862","386323","383447","371421",
"35","전라북도","T04","4~6개월","","325276","331181","346821","337861","327701","346307","320550","325584","333739","327745","341542","329623","339256","327408","335090","326896","338029","307636","313827","315424","313008",
"35","전라북도","T05","6~8개월:계","","14857","13942","17641","15477","14945","13435","13600","14785","16373","14868","13526","14090","15048","16846","14743","15964","16073","16531","14912","17323","14421",
"35","전라북도","T06","6~8개월:암컷","","12013","11401","13225","12236","11621","10884","10736","11466","12381","11367","9993","10525","11544","13305","11830","13455","13662","13324","12804","13223","12402",
"35","전라북도","T07","6~8개월:수컷","","2844","2541","4416","3241","3324","2551","2864","3319","3992","3501","3533","3565","3504","3541","2913","2509","2411","3207","2108","4100","2019",
"35","전라북도","T08","8개월이상:계","","101249","98164","97957","99207","96796","96701","93608","96305","94165","93156","95063","98989","103907","105240","106059","106026","106767","105478","106409","105184","105123",
"35","전라북도","T09","8개월이상:암컷","","99905","96793","96493","97739","95402","95242","92132","94780","92650","91589","93481","97354","102131","103418","104148","104030","104820","103545","104477","103204","103060",
"35","전라북도","T10","8개월이상:수컷","","1344","1371","1464","1468","1394","1459","1476","1525","1515","1567","1582","1635","1776","1822","1911","1996","1947","1933","1932","1980","2063",
"36","전라남도","T01","합계","","1132766","1088232","1097140","1081114","1087170","1060461","996891","992370","969511","993767","1029379","1030425","985066","994858","1006599","969981","928355","887677","883714","862660","848036",
"36","전라남도","T02","2개월미만","","361310","348196","330996","337117","329921","329119","306529","305036","294868","304468","316276","322751","309685","321141","319598","312645","310022","293962","300369","290952","282538",
"36","전라남도","T03","2~4개월","","322649","302146","321711","302053","306670","298909","295354","280060","288305","307960","296418","290006","271162","304283","319667","294751","267284","261552","249348","236751","237085",
"36","전라남도","T04","4~6개월","","336290","327058","339309","334434","342453","326231","292186","302216","288222","283485","314574","313412","299789","265525","256570","251622","244035","231138","237955","232081","228113",
"36","전라남도","T05","6~8개월:계","","10879","12514","12456","12500","12396","13372","16024","13732","9872","9495","11542","10669","12788","13603","19363","17144","14726","14271","10221","13014","12481",
"36","전라남도","T06","6~8개월:암컷","","10615","12283","12208","12246","11969","13076","14317","12917","9633","9395","10721","9591","11353","13385","17482","16088","14233","14042","9437","10916","10646",
"36","전라남도","T07","6~8개월:수컷","","264","231","248","254","427","296","1707","815","239","100","821","1078","1435","218","1881","1056","493","229","784","2098","1835",
"36","전라남도","T08","8개월이상:계","","101638","98318","92668","95010","95730","92830","86798","91326","88244","88359","90569","93587","91642","90306","91401","93819","92288","86754","85821","89862","87819",
"36","전라남도","T09","8개월이상:암컷","","99784","96455","90879","93154","93892","91049","84892","89220","86329","86413","88555","91470","89485","88022","88973","91332","89948","84453","83345","87016","85080",
"36","전라남도","T10","8개월이상:수컷","","1854","1863","1789","1856","1838","1781","1906","2106","1915","1946","2014","2117","2157","2284","2428","2487","2340","2301","2476","2846","2739",
"37","경상북도","T01","합계","","1232831","1201562","1222462","1180083","1218200","1253721","1262307","1220922","1214022","1226397","1262470","1274169","1259896","1198973","1163549","1094395","1019302","954149","944929","944590","946288",
"37","경상북도","T02","2개월미만","","384028","376654","368869","365328","370556","386781","382815","371046","372658","378433","394190","400665","386115","377978","368155","358234","314617","314147","291433","307614","307141",
"37","경상북도","T03","2~4개월","","361822","342173","377717","348898","358131","378538","400172","383414","382371","381275","396522","392647","379704","359875","358308","319480","302309","270717","280390","265529","272870",
"37","경상북도","T04","4~6개월","","363353","359978","354878","348684","367607","360637","355458","341015","333416","348454","353308","348243","365087","330909","312249","290399","281937","261828","272243","265890","265218",
"37","경상북도","T05","6~8개월:계","","14140","12064","13331","13184","14689","17736","16128","16581","15306","9290","9910","14073","12099","15171","13475","18007","15641","13397","12786","12215","10569",
"37","경상북도","T06","6~8개월:암컷","","12895","11267","12308","12054","12919","13016","12483","11593","10581","8846","9244","13504","11523","12865","12524","15835","13915","12517","10876","11365","9405",
"37","경상북도","T07","6~8개월:수컷","","1245","797","1023","1130","1770","4720","3645","4988","4725","444","666","569","576","2306","951","2172","1726","880","1910","850","1164",
"37","경상북도","T08","8개월이상:계","","109488","110693","107667","103989","107217","110029","107734","108866","110271","108945","108540","118541","116891","115040","111362","108275","104798","94060","88077","93342","90490",
"37","경상북도","T09","8개월이상:암컷","","107845","108952","105942","102320","105619","108233","105956","106931","108306","106876","106424","116115","114617","112683","107982","106049","102669","92086","86220","91160","88540",
"37","경상북도","T10","8개월이상:수컷","","1643","1741","1725","1669","1598","1796","1778","1935","1965","2069","2116","2426","2274","2357","3380","2226","2129","1974","1857","2182","1950",
"38","경상남도","T01","합계","","1109217","1118163","1122761","1114256","1101073","1088261","1077372","1042988","1057085","1052191","1092867","1178678","1140993","1138789","1155401","1129773","1102845","1104240","1112536","1126955","1137004",
"38","경상남도","T02","2개월미만","","347274","352297","356900","340729","337358","321573","316657","309041","312171","310286","327224","355207","353576","359022","362423","352589","345767","339802","341843","346359","352600",
"38","경상남도","T03","2~4개월","","329104","331202","330982","323401","328818","330189","323222","309129","315419","314915","342371","370171","343251","335709","342594","330633","313701","329277","323754","332999","331739",
"38","경상남도","T04","4~6개월","","327862","331020","331336","347577","330934","330330","331744","323175","329791","329259","323614","344307","330542","329797","334614","322448","321176","321359","334872","329779","335978",
"38","경상남도","T05","6~8개월:계","","10438","9006","8296","8942","9959","15003","13576","11082","10684","12330","9595","8579","15147","13477","12925","20676","19916","10943","9799","13016","14407",
"38","경상남도","T06","6~8개월:암컷","","10416","8553","8030","8458","8855","11809","10846","9504","8616","9390","7843","7665","14248","10760","11914","19374","18789","10321","9266","10923","11860",
"38","경상남도","T07","6~8개월:수컷","","22","453","266","484","1104","3194","2730","1578","2068","2940","1752","914","899","2717","1011","1302","1127","622","533","2093","2547",
"38","경상남도","T08","8개월이상:계","","94539","94638","95247","93607","94004","91166","92173","90561","89020","85401","90063","100414","98477","100784","102845","103427","102285","102859","102268","104802","102280",
"38","경상남도","T09","8개월이상:암컷","","92874","92856","93557","91905","92250","89476","90469","88831","87325","83726","88204","98527","96637","98926","100929","101248","100208","100928","100329","102827","100327",
"38","경상남도","T10","8개월이상:수컷","","1665","1782","1690","1702","1754","1690","1704","1730","1695","1675","1859","1887","1840","1858","1916","2179","2077","1931","1939","1975","1953",
"39","제주도","T01","합계","","563767","553872","554221","537944","539576","541465","544982","538611","551640","553151","550113","538008","530689","546055","548082","536216","515601","507978","513319","506030","488210",
"39","제주도","T02","2개월미만","","194339","185963","182404","179171","178542","171128","177061","171476","177291","179630","179482","177178","176581","174635","179831","175702","169560","164346","169512","163303","156464",
"39","제주도","T03","2~4개월","","162267","166011","168153","157985","160951","163126","161922","163507","167836","170143","169598","164329","161259","164547","165782","161393","156587","155383","156130","154262","144206",
"39","제주도","T04","4~6개월","","148113","143360","145342","142084","142229","150458","150059","148135","150436","148337","146162","140821","136902","150912","147417","142656","134945","134643","133932","133646","133919",
"39","제주도","T05","6~8개월:계","","4891","4439","4349","4940","5633","4684","4380","4061","4217","4065","4045","3922","3926","4457","3979","4328","4218","4552","3992","4626","4785",
"39","제주도","T06","6~8개월:암컷","","4784","4309","4207","4834","5527","4601","4276","3981","4099","4013","3930","3778","3856","4329","3894","3923","4145","4291","3850","4118","4021",
"39","제주도","T07","6~8개월:수컷","","107","130","142","106","106","83","104","80","118","52","115","144","70","128","85","405","73","261","142","508","764",
"39","제주도","T08","8개월이상:계","","54157","54099","53973","53764","52221","52069","51560","51432","51860","50976","50826","51758","52021","51504","51073","52137","50291","49054","49753","50193","48836",
"39","제주도","T09","8개월이상:암컷","","52545","52454","52281","52157","50560","50442","50034","49859","50218","49329","49157","50057","50256","49684","49272","50291","48548","47361","47969","48447","47089",
"39","제주도","T10","8개월이상:수컷","","1612","1645","1692","1607","1661","1627","1526","1573","1642","1647","1669","1701","1765","1820","1801","1846","1743","1693","1784","1746","1747",
