"[A]시도별","시도별","[B]사육규모별","사육규모별","[Item]항목","항목","단위","2016. 1/4","2015. 4/4","2015. 3/4","2015. 2/4","2015. 1/4","2014. 4/4","2014. 3/4","2014. 2/4","2014. 1/4","2013. 4/4","2013. 3/4","2013. 2/4","2013. 1/4","2012. 4/4","2012. 3/4","2012. 2/4","2012. 1/4","2011. 4/4","2011. 3/4","2011. 2/4","2011. 1/4",
"24","광주광역시","20","10,000 이상","T01","가구수","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"24","광주광역시","20","10,000 이상","T02","마리수","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"25","대전광역시","00","합계","T01","가구수","","10","10","10","10","10","10","10","18","18","18","18","18","19","19","18","18","18","11","13","14","10",
"25","대전광역시","00","합계","T02","마리수","","3069","1121","992","988","964","1055","1116","1120","958","788","883","801","880","1040","186","230","183","1266","1306","1320","225",
"25","대전광역시","05","1,000 미만","T01","가구수","","9","10","10","10","10","10","10","18","18","18","18","18","19","19","18","18","18","10","12","13","10",
"25","대전광역시","05","1,000 미만","T02","마리수","","82","1121","992","988","964","1055","1116","1120","958","788","883","801","880","1040","186","230","183","157","152","206","225",
"25","대전광역시","10","1,000~5,000","T01","가구수","","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0",
"25","대전광역시","10","1,000~5,000","T02","마리수","","2987","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1109","1154","1114","0",
"25","대전광역시","15","5,000~10,000","T01","가구수","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"25","대전광역시","15","5,000~10,000","T02","마리수","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"25","대전광역시","20","10,000 이상","T01","가구수","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"25","대전광역시","20","10,000 이상","T02","마리수","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"26","울산광역시","00","합계","T01","가구수","","9","10","10","10","10","12","11","11","13","12","10","10","10","8","9","10","10","10","11","12","16",
"26","울산광역시","00","합계","T02","마리수","","26944","28945","29927","29360","29182","28426","32299","31735","41984","42645","41740","43844","40780","37165","43365","46134","46582","34837","41772","38684","37457",
"26","울산광역시","05","1,000 미만","T01","가구수","","5","6","6","6","6","8","7","7","8","8","5","5","5","3","5","6","5","5","5","5","10",
"26","울산광역시","05","1,000 미만","T02","마리수","","2470","3539","3551","3511","3678","3753","4180","4163","4382","4582","3016","3268","3333","1965","3160","3219","3104","3004","2480","1720","2875",
"26","울산광역시","10","1,000~5,000","T01","가구수","","2","2","2","2","2","2","2","2","3","2","3","3","3","3","2","2","3","3","4","5","5",
"26","울산광역시","10","1,000~5,000","T02","마리수","","4616","4264","4177","4100","4159","4020","4000","3700","4625","3415","4311","5099","5543","5508","4610","4664","5772","5582","6699","7330","11472",
"26","울산광역시","15","5,000~10,000","T01","가구수","","1","1","1","1","1","1","0","1","1","0","0","0","0","0","0","0","1","1","1","1","0",
"26","울산광역시","15","5,000~10,000","T02","마리수","","8847","9138","9199","8749","9345","8653","0","9698","9977","0","0","0","0","0","0","0","9606","5101","5393","5384","0",
"26","울산광역시","20","10,000 이상","T01","가구수","","1","1","1","1","1","1","2","1","1","2","2","2","2","2","2","2","1","1","1","1","1",
"26","울산광역시","20","10,000 이상","T02","마리수","","11011","12004","13000","13000","12000","12000","24119","14174","23000","34648","34413","35477","31904","29692","35595","38251","28100","21150","27200","24250","23110",
"31","경기도","00","합계","T01","가구수","","847","877","881","839","858","925","950","915","949","974","1042","1039","1052","1034","1033","992","933","858","755","521","419",
"31","경기도","00","합계","T02","마리수","","1775229","1761424","1844748","1763849","1733751","1771645","1818342","1731133","1690585","1803257","1857720","1811963","1818288","1734068","1765572","1491529","1259578","972301","754744","575559","448728",
"31","경기도","05","1,000 미만","T01","가구수","","355","358","347","318","319","366","377","363","390","375","431","452","441","429","414","427","477","527","495","307","249",
"31","경기도","05","1,000 미만","T02","마리수","","206445","205696","201712","177726","159184","173224","209193","177252","174582","196485","205268","221880","212264","207508","195992","183686","195027","208844","158337","96669","70546",
"31","경기도","10","1,000~5,000","T01","가구수","","428","458","469","460","478","497","512","495","508","542","549","529","557","555","567","521","421","306","241","203","160",
"31","경기도","10","1,000~5,000","T02","마리수","","971555","1005445","1040491","1027965","1013886","1053177","1076682","1047926","1078037","1120276","1113373","1090420","1147383","1093857","1133719","965136","807027","587240","471722","411200","316292",
"31","경기도","15","5,000~10,000","T01","가구수","","52","48","48","47","46","47","46","43","39","49","50","48","45","41","43","36","30","23","19","10","10",
"31","경기도","15","5,000~10,000","T02","마리수","","354709","323876","319066","320252","304509","303866","294220","276973","255919","337762","336603","329443","301897","276887","275557","227368","188848","146957","124685","57269","61890",
"31","경기도","20","10,000 이상","T01","가구수","","12","13","17","14","15","15","15","14","12","8","12","10","9","9","9","8","5","2","0","1","0",
"31","경기도","20","10,000 이상","T02","마리수","","242520","226407","283479","237906","256172","241378","238247","228982","182047","148734","202476","170220","156744","155816","160304","115339","68676","29260","0","10421","0",
"32","강원도","00","합계","T01","가구수","","153","166","173","163","171","168","172","171","173","192","200","202","226","189","211","204","209","237","195","224","194",
"32","강원도","00","합계","T02","마리수","","432822","422500","433191","424075","441805","446587","444028","421392","435871","424533","438121","414239","398842","366232","371004","340103","311797","246868","192041","156144","145152",
"32","강원도","05","1,000 미만","T01","가구수","","37","49","50","51","47","52","53","58","56","76","81","87","109","84","104","101","100","156","134","167","141",
"32","강원도","05","1,000 미만","T02","마리수","","27698","21666","25605","31184","28966","34747","31673","34607","29814","30544","33734","30881","29648","33016","35270","30493","35684","38197","36085","27432","23793",
"32","강원도","10","1,000~5,000","T01","가구수","","103","105","111","98","109","102","104","102","104","101","105","102","106","92","93","92","102","76","57","55","51",
"32","강원도","10","1,000~5,000","T02","마리수","","252799","257847","266326","238210","255828","251815","246770","248103","252708","235479","247736","242799","245619","204157","209024","208718","203895","154302","117597","108512","102759",
"32","강원도","15","5,000~10,000","T01","가구수","","8","7","8","10","11","9","9","6","8","10","9","8","6","7","11","9","5","3","3","1","1",
"32","강원도","15","5,000~10,000","T02","마리수","","53697","45628","54381","61039","67918","63791","55917","42470","52539","60870","59918","54365","42141","43843","74845","62421","33624","24540","19859","5200","6100",
"32","강원도","20","10,000 이상","T01","가구수","","5","5","4","4","4","5","6","5","5","5","5","5","5","6","3","2","2","2","1","1","1",
"32","강원도","20","10,000 이상","T02","마리수","","98628","97359","86879","93642","89093","96234","109668","96212","100810","97640","96733","86194","81434","85216","51865","38471","38594","29829","18500","15000","12500",
"33","충청북도","00","합계","T01","가구수","","273","266","276","265","268","307","330","328","328","344","342","337","329","308","321","347","337","283","259","235","240",
"33","충청북도","00","합계","T02","마리수","","600869","592806","622663","578157","560349","614581","606373","599594","604321","635765","661778","656506","637524","607392","621591","554483","481250","398244","350443","271215","233679",
"33","충청북도","05","1,000 미만","T01","가구수","","108","100","105","112","119","110","154","136","141","154","174","148","152","136","149","194","198","161","145","141","164",
"33","충청북도","05","1,000 미만","T02","마리수","","41029","33169","41495","44132","45829","39684","54051","36934","49280","46469","68549","44171","50342","40951","46521","53054","51650","50203","48976","43865","46359",
"33","충청북도","10","1,000~5,000","T01","가구수","","136","140","143","127","123","170","150","169","165","162","138","162","149","147","146","127","120","106","100","87","66",
"33","충청북도","10","1,000~5,000","T02","마리수","","285392","300496","303983","277448","255748","333846","314202","334861","340582","318504","295656","332558","312558","315885","311892","259639","245575","212016","196959","174721","122569",
